FuelCode,Price,IsAvailable,FuelOutletIdentifier,OutletName,Address,Postcode,Suburb,FuelBrandIdentifier,Longitude,Latitude,BrandIdentifier,BrandName,collection_datetime,collection_date
U91,200.90,True,08700037,COLES EXPRESS ALICE SPRINGS TRUCK STOP,Cnr DALGETY RD & LILBILI ST,0870,ALICE SPRINGS,SH,133.864878,-23.66775,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08500038,COLES EXPRESS KATHERINE,30 KATHERINE TERRACE,0850,KATHERINE,SH,132.262743,-14.46551,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,189.90,True,08500038,COLES EXPRESS KATHERINE,30 KATHERINE TERRACE,0850,KATHERINE,SH,132.262743,-14.46551,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,206.90,True,08500038,COLES EXPRESS KATHERINE,30 KATHERINE TERRACE,0850,KATHERINE,SH,132.262743,-14.46551,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,189.90,True,08500038,COLES EXPRESS KATHERINE,30 KATHERINE TERRACE,0850,KATHERINE,SH,132.262743,-14.46551,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08000039,COLES EXPRESS DARWIN CITY,37 DALY ST,0800,DARWIN ,SH,130.838773,-12.454479,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,181.90,True,08000039,COLES EXPRESS DARWIN CITY,37 DALY ST,0800,DARWIN ,SH,130.838773,-12.454479,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,198.90,True,08000039,COLES EXPRESS DARWIN CITY,37 DALY ST,0800,DARWIN ,SH,130.838773,-12.454479,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,181.90,True,08000039,COLES EXPRESS DARWIN CITY,37 DALY ST,0800,DARWIN ,SH,130.838773,-12.454479,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,207.50,True,08210040,BP Winnellie,386 STUART HIGHWAY,0821,WINNELLIE,BP,130.869226,-12.425722,BP,BP,2023-05-11 14:00:17.473315,2023-05-11
P95,195.50,True,08210040,BP Winnellie,386 STUART HIGHWAY,0821,WINNELLIE,BP,130.869226,-12.425722,BP,BP,2023-05-11 14:00:17.473315,2023-05-11
U91,181.50,True,08210040,BP Winnellie,386 STUART HIGHWAY,0821,WINNELLIE,BP,130.869226,-12.425722,BP,BP,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08100041,COLES EXPRESS CASUARINA (NT),247 TROWER (CNR DRIPSTONE RDS),0810,CASUARINA,SH,130.882005,-12.376822,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,181.90,True,08100041,COLES EXPRESS CASUARINA (NT),247 TROWER (CNR DRIPSTONE RDS),0810,CASUARINA,SH,130.882005,-12.376822,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
U91,181.90,True,08100041,COLES EXPRESS CASUARINA (NT),247 TROWER (CNR DRIPSTONE RDS),0810,CASUARINA,SH,130.882005,-12.376822,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
DL,206.90,True,08300042,COLES EXPRESS PALMERSTON,2 YARRAWONGA RD (CNR ROYSTONEA AVE),0830,PALMERSTON,SH,130.9841,-12.473721,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
LAF,181.90,True,08300042,COLES EXPRESS PALMERSTON,2 YARRAWONGA RD (CNR ROYSTONEA AVE),0830,PALMERSTON,SH,130.9841,-12.473721,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
P95,198.90,True,08300042,COLES EXPRESS PALMERSTON,2 YARRAWONGA RD (CNR ROYSTONEA AVE),0830,PALMERSTON,SH,130.9841,-12.473721,SH,Shell,2023-05-11 14:00:17.473315,2023-05-11
