address,long,lat
"3 Carson Road, MALAGA , Western Australia",115.8776744,-31.8554242
"211 Bussell Highway, MARGARET RIVER , Western Australia",115.0765952,-33.9597168
"Cnr Rockingham Road & Lee Road, NAVAL BASE , Western Australia",,
"177 O'Connor Road, STRATTON , Western Australia",116.0386993,-31.8717985
"150 Wanneroo Road, TUART HILL , Western Australia",115.8393995,-31.8934715
"21 Coronation Drive, BINNINGUP , Western Australia",115.6894655,-33.1499459
"8B South Western Highway, BOYANUP , Western Australia",115.7271388,-33.4736948
"3 Bandicoot Drive, KUNUNURRA , Western Australia",128.736145,-15.7818446
"634 Menang Drive, WILLYUNG , Western Australia",117.8802851,-34.9605891
"5 Cocos Drive, BIBRA LAKE , Western Australia",115.8084986,-32.1095391
"1 Spencer Street, BRIDGETOWN , Western Australia",116.1376595,-33.9612827
"124 Throssell Street, COLLIE , Western Australia",116.1626679,-33.3615962
"4267 South Western Highway (Cnr Del Park Road), NORTH DANDALUP , Western Australia",,
"2 Cunningham Road (Cnr Great Eastern Highway), WEST KALGOORLIE , Western Australia",,
"1540 Anderson Road, KARRATHA INDUSTRIAL ESTATE , Western Australia",116.8695368,-20.7757936
"Cnr Mandurah Road & Wellard Road, KWINANA BEACH , Western Australia",,
"76 Malaga Drive (Cnr Truganina Road), MALAGA , Western Australia",,
"54 Wetherell Street, MANJIMUP , Western Australia",116.1465413,-34.2566731
"12 Clayton Road, NARROGIN , Western Australia",117.0162767,-32.9200856
"131 Welsh Drive (Cnr Pardoo Drive), NEWMAN , Western Australia",,
"204 North Road, YAKAMIA , Western Australia",117.8729389,-35.0053366
"1 Wimbridge Road, PICTON , Western Australia",115.6966007,-33.3464223
"1 Princep Street, NORSEMAN , Western Australia",,
"Cnr North Mole Drive & Rous Head Road, NORTH FREMANTLE , Western Australia",,
"159 Altone Road (Cnr Hull Way), BEECHBORO , Western Australia",,
"918 Canning Highway (Cnr Kintail Road), APPLECROSS , Western Australia",,
"50 Mavis Road, BILINGURR , Western Australia",122.2401735,-17.9268283
"1 Forrest Ave, BUNBURY , Western Australia",115.6461278,-33.3404349
"115 Strelly Street, BUSSELTON , Western Australia",115.3489759,-33.6631886
"11 Headingly Cr (Cnr Connolly Drive), BUTLER , Western Australia",,
"Lot 22 South Western Highway (Cnr Nettleton Road), BYFORD , Western Australia",,
"1346 Albany Highway, CANNINGTON , Western Australia",115.9263031,-32.0113539
"510 Beach Road (Cnr Duffy Road), CARINE , Western Australia",,
"595 Robinson Street, KINGSFORD , Western Australia",,
"7 Ocean Keys Bvd (Cnr Marmion Ave), CLARKSON , Western Australia",,
"110-114 Bayley Street, COOLGARDIE , Western Australia",121.163342,-30.9546617
"191 Bailey Bvd (Cnr Dawesville Bypa), DAWESVILLE , Western Australia",,
"365 Scarborough Beach Road, DOUBLEVIEW , Western Australia",115.7808942,-31.8944946
"157 Lord Street, PERTH , Western Australia",115.8682494,-31.9512821
"1 Pratt Road, EATON , Western Australia",115.706587,-33.3133142
"112 Oakleigh Drive (Cnr Old Coast Road), ERSKINE , Western Australia",,
"59 Dempster Street, ESPERANCE , Western Australia",121.8901477,-33.8666922
"77 Maidstone Cr, EXMOUTH , Western Australia",114.127221,-21.9323954
"63 Alex Wood Drive (Cnr Armadale Road), FORRESTDALE , Western Australia",,
"2 Jon Sanders Drive (Cnr Harborne Street), GLENDALOUGH , Western Australia",,
"158 Corfield Street, GOSNELLS , Western Australia",115.9809239,-32.0742735
"35 Minilya Pkwy (Cnr Lakes Road), GREENFIELDS , Western Australia",,
"967 Abernethy Road (Cnr Grogan Road), HIGH WYCOMBE , Western Australia",,
"342 Beaufort Street (Cnr Bulwer Street), PERTH , Western Australia",,
"Lakeside Joondalup Shopping Centre, JOONDALUP , Western Australia",115.7675395,-31.7432271
"146 Boulder Road (Cnr Connolly Street), SOUTH KALGOORLIE , Western Australia",,
"Lot 3861 Bathgate Road, NICKOL , Western Australia",,
