stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
23,Caltex,Caltex Glenorchy,"323-325 Main Road, Glenorchy TAS 7010",-42.8336862,147.2809297,P95,Premium 95,200.9,2022-11-23 14:00:11.020981,2022-11-23
23,Caltex,Caltex Glenorchy,"323-325 Main Road, Glenorchy TAS 7010",-42.8336862,147.2809297,P98,Premium 98,208.9,2022-11-23 14:00:11.020981,2022-11-23
23,Caltex,Caltex Glenorchy,"323-325 Main Road, Glenorchy TAS 7010",-42.8336862,147.2809297,PDL,Premium Diesel,239.9,2022-11-23 14:00:11.020981,2022-11-23
23,Caltex,Caltex Glenorchy,"323-325 Main Road, Glenorchy TAS 7010",-42.8336862,147.2809297,U91,Unleaded 91,186.9,2022-11-23 14:00:11.020981,2022-11-23
24,Ampol,Ampol Hobart Macquarie St,"272 Macquarie Street, South Hobart TAS 7004",-42.8912049,147.319796,P98,Premium 98,210.9,2022-11-23 14:00:11.020981,2022-11-23
24,Ampol,Ampol Hobart Macquarie St,"272 Macquarie Street, South Hobart TAS 7004",-42.8912049,147.319796,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
24,Ampol,Ampol Hobart Macquarie St,"272 Macquarie Street, South Hobart TAS 7004",-42.8912049,147.319796,U91,Unleaded 91,188.9,2022-11-23 14:00:11.020981,2022-11-23
25,Caltex,Caltex Hobart South,"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,LPG,LPG,129.9,2022-11-23 14:00:11.020981,2022-11-23
25,Caltex,Caltex Hobart South,"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,P95,Premium 95,202.9,2022-11-23 14:00:11.020981,2022-11-23
25,Caltex,Caltex Hobart South,"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,P98,Premium 98,210.9,2022-11-23 14:00:11.020981,2022-11-23
25,Caltex,Caltex Hobart South,"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
25,Caltex,Caltex Hobart South,"152-158 Davey Street CNR Antill Street, Hobart South TAS 7000",-42.891354,147.321352,U91,Unleaded 91,188.9,2022-11-23 14:00:11.020981,2022-11-23
26,Caltex,Caltex Lindisfarne,"109 EAST DERWENT HWY, LINDISFARNE TAS 7015",-42.8517409,147.3601656,P98,Premium 98,219.9,2022-11-23 14:00:11.020981,2022-11-23
26,Caltex,Caltex Lindisfarne,"109 EAST DERWENT HWY, LINDISFARNE TAS 7015",-42.8517409,147.3601656,PDL,Premium Diesel,245.9,2022-11-23 14:00:11.020981,2022-11-23
26,Caltex,Caltex Lindisfarne,"109 EAST DERWENT HWY, LINDISFARNE TAS 7015",-42.8517409,147.3601656,U91,Unleaded 91,197.9,2022-11-23 14:00:11.020981,2022-11-23
27,Caltex,Caltex Midway Point,"13 Tasman Highway, Midway Point TAS 7171",-42.8041329,147.5326407,P95,Premium 95,206.9,2022-11-23 14:00:11.020981,2022-11-23
27,Caltex,Caltex Midway Point,"13 Tasman Highway, Midway Point TAS 7171",-42.8041329,147.5326407,P98,Premium 98,214.9,2022-11-23 14:00:11.020981,2022-11-23
27,Caltex,Caltex Midway Point,"13 Tasman Highway, Midway Point TAS 7171",-42.8041329,147.5326407,PDL,Premium Diesel,249.9,2022-11-23 14:00:11.020981,2022-11-23
27,Caltex,Caltex Midway Point,"13 Tasman Highway, Midway Point TAS 7171",-42.8041329,147.5326407,U91,Unleaded 91,192.9,2022-11-23 14:00:11.020981,2022-11-23
28,Caltex,Caltex New Town,"71 Risdon Road near Queens Walk, New Town TAS 7008",-42.851853,147.310634,P95,Premium 95,200.8,2022-11-23 14:00:11.020981,2022-11-23
