stationcode,brand,name,address,lat,long,fueltype,fueltype_long,price,collection_datetime,collection_date
27,Coles Express,Coles Express Erina,"211 The Entrance Rd (Cnr Bonnal Rd), Erina NSW 2250",-33.435578,151.385108,P95,Premium 95,206.9,2022-12-08 14:00:10.626013,2022-12-08
27,Coles Express,Coles Express Erina,"211 The Entrance Rd (Cnr Bonnal Rd), Erina NSW 2250",-33.435578,151.385108,P98,Premium 98,214.9,2022-12-08 14:00:10.626013,2022-12-08
27,Coles Express,Coles Express Erina,"211 The Entrance Rd (Cnr Bonnal Rd), Erina NSW 2250",-33.435578,151.385108,U91,Unleaded 91,191.9,2022-12-08 14:00:10.626013,2022-12-08
29,Coles Express,Coles Express Mittagong,"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,DL,Diesel,214.9,2022-12-08 14:00:10.626013,2022-12-08
29,Coles Express,Coles Express Mittagong,"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,E10,Ethanol 94,180.9,2022-12-08 14:00:10.626013,2022-12-08
29,Coles Express,Coles Express Mittagong,"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,P95,Premium 95,197.9,2022-12-08 14:00:10.626013,2022-12-08
29,Coles Express,Coles Express Mittagong,"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,P98,Premium 98,205.9,2022-12-08 14:00:10.626013,2022-12-08
29,Coles Express,Coles Express Mittagong,"Old Hume Hwy (Cnr Balaclava St), Mittagong NSW 2575",-34.439,150.471869,U91,Unleaded 91,182.9,2022-12-08 14:00:10.626013,2022-12-08
30,Coles Express,Coles Express Dubbo,"Whylandra St & Victoria St, Dubbo NSW 2830",-32.247549,148.593317,DL,Diesel,226.9,2022-12-08 14:00:10.626013,2022-12-08
30,Coles Express,Coles Express Dubbo,"Whylandra St & Victoria St, Dubbo NSW 2830",-32.247549,148.593317,E10,Ethanol 94,193.9,2022-12-08 14:00:10.626013,2022-12-08
30,Coles Express,Coles Express Dubbo,"Whylandra St & Victoria St, Dubbo NSW 2830",-32.247549,148.593317,P98,Premium 98,218.9,2022-12-08 14:00:10.626013,2022-12-08
30,Coles Express,Coles Express Dubbo,"Whylandra St & Victoria St, Dubbo NSW 2830",-32.247549,148.593317,U91,Unleaded 91,195.9,2022-12-08 14:00:10.626013,2022-12-08
31,Coles Express,Coles Express Jamisontown,"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,DL,Diesel,214.9,2022-12-08 14:00:10.626013,2022-12-08
31,Coles Express,Coles Express Jamisontown,"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,E10,Ethanol 94,171.9,2022-12-08 14:00:10.626013,2022-12-08
31,Coles Express,Coles Express Jamisontown,"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,P95,Premium 95,188.9,2022-12-08 14:00:10.626013,2022-12-08
31,Coles Express,Coles Express Jamisontown,"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,P98,Premium 98,196.9,2022-12-08 14:00:10.626013,2022-12-08
31,Coles Express,Coles Express Jamisontown,"Mulgoa Road & Wolseley Road, Jamisontown NSW 2750",-33.770347,150.674028,U91,Unleaded 91,173.9,2022-12-08 14:00:10.626013,2022-12-08
33,Coles Express,Coles Express Wauchope,"64 High Street, Wauchope NSW 2446",-31.457565,152.731699,DL,Diesel,225.9,2022-12-08 14:00:10.626013,2022-12-08
33,Coles Express,Coles Express Wauchope,"64 High Street, Wauchope NSW 2446",-31.457565,152.731699,P95,Premium 95,200.9,2022-12-08 14:00:10.626013,2022-12-08
33,Coles Express,Coles Express Wauchope,"64 High Street, Wauchope NSW 2446",-31.457565,152.731699,P98,Premium 98,208.9,2022-12-08 14:00:10.626013,2022-12-08
33,Coles Express,Coles Express Wauchope,"64 High Street, Wauchope NSW 2446",-31.457565,152.731699,U91,Unleaded 91,185.9,2022-12-08 14:00:10.626013,2022-12-08
34,Coles Express,Coles Express Chatswood,"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,DL,Diesel,233.9,2022-12-08 14:00:10.626013,2022-12-08
34,Coles Express,Coles Express Chatswood,"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,E10,Ethanol 94,169.9,2022-12-08 14:00:10.626013,2022-12-08
34,Coles Express,Coles Express Chatswood,"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,P95,Premium 95,186.9,2022-12-08 14:00:10.626013,2022-12-08
34,Coles Express,Coles Express Chatswood,"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,P98,Premium 98,194.9,2022-12-08 14:00:10.626013,2022-12-08
34,Coles Express,Coles Express Chatswood,"877-879 Pacific Hwy, Chatswood NSW 2067",-33.791717,151.180472,U91,Unleaded 91,171.9,2022-12-08 14:00:10.626013,2022-12-08
35,Coles Express,Coles Express Parklea,"484 Sunnyholt Road, Parklea NSW 2768",-33.729297,150.921811,DL,Diesel,229.9,2022-12-08 14:00:10.626013,2022-12-08
35,Coles Express,Coles Express Parklea,"484 Sunnyholt Road, Parklea NSW 2768",-33.729297,150.921811,E10,Ethanol 94,168.9,2022-12-08 14:00:10.626013,2022-12-08
35,Coles Express,Coles Express Parklea,"484 Sunnyholt Road, Parklea NSW 2768",-33.729297,150.921811,P95,Premium 95,185.9,2022-12-08 14:00:10.626013,2022-12-08
